Username,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Followers Count,Connections
jaclyndeleonstyle,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
givenutah,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
latinathings,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
mrsaliceshop,0.00133422281521014,0.0,0.3511360974467088,0.0020250497242283055,0,2
karaokenightout,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
sick_yaki,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
jenniedimatteo,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
danimessih,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
georgieeisdell,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
tobby_dorta,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,1,2
gourmetcriativo,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
sierra.honeycutt,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
markdeleonphoto,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
whitefoxboutique,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
bridgertonnetflix,0.00133422281521014,0.0,0.3511360974467088,0.0020250497242283055,0,2
amazinglydeliciousdesserts,0.00266844563042028,0.0,0.4766295707472178,0.01998444843894517,2,4
cricutforeverybody,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
meryfarm305,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
losangeles_eats,0.00266844563042028,0.0,0.47602413464591936,0.020281273812581838,0,4
itisimilo,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
rooftoplivefl,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
wendyskin,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
dongcheshijie,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
donutbragger,0.00133422281521014,0.0,0.3511360974467088,0.0020250497242283055,0,2
dessert.wars,0.00266844563042028,0.0,0.5003337783711616,0.020832629894647438,0,4
fashion.pdf,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
hostinyourhome,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
juliaandhenrys,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
hungry.happens,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
littlerandomhappiness,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
imbisu2,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
prohebrew,0.00266844563042028,0.0,0.47602413464591936,0.020281273812581838,0,4
biteofmia,0.00266844563042028,0.0,0.3531213191990577,0.003460817072215965,0,4
fiance,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
washingtondc.travels,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
encasacontelemundo,0.00133422281521014,0.0,0.3511360974467088,0.0020250497242283055,0,2
alexandra_redmond,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
sweetcandlecompany_,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
trueglow_,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
sousouinthehouse,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
anaking_photo,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
theclassypeople,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
jmpatsios,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,1,2
balloons_by_syd,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
cuddlesandkissesnewborns,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
kac237,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,1,2
lets_talk.about.you,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
lachivaparcerapartybus,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
flaglerfoodinmotion,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
siredesign,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
thehungryjessica,0.00133422281521014,0.0,0.3511360974467088,0.0020250497242283055,0,2
nicoleebenet,0.00133422281521014,0.0,0.3511360974467088,0.0020250497242283055,0,2
artigianibubblewaffles_us,0.00266844563042028,0.0,0.4766295707472178,0.020111201064826327,1,4
iviethefoodie,0.00133422281521014,0.0,0.3511360974467088,0.0020250497242283055,0,2
travel.naturex,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
davinapotratz,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
aesthetevents,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
videoleap_by_lightricks,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
konkretdj,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,1,2
urban_streetart,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
kismet.wp,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
pearlsandpinkwishes,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
tinselphilly,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
beingtheblooms,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
alexandra_lourdes,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
becksdessertshop,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
thesocalgal_,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
michellevalenciiad,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
mileypooh_sweets,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
drinklocalmiami,0.00133422281521014,0.0,0.3511360974467088,0.0020250497242283055,0,2
johnzimmer__,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
cheesecaketrendi,0.00133422281521014,0.0,0.4757219930180895,0.01880758017041913,0,2
