Username,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Followers Count,Connections
rutconache,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
spicegirls,0.02935290193462308,1.504846404711246e-05,0.39983995732195254,0.02697904331262588,12,44
sofiacarson,0.01867911941294196,8.27634281661863e-05,0.39888238424693984,0.014603272988416589,0,28
area21,0.0066711140760507,8.732053294655228e-09,0.39719130895601484,0.009235661949964372,5,10
earthgang,0.09739826551034021,0.0005027457381846736,0.40789115646258506,0.05494634357920725,42,146
mariahangeliq,0.05603735823882588,0.00047850427787938523,0.4317396313364055,0.032048685249521626,18,84
lollapalooza,0.0466977985323549,0.000441639450929006,0.40230810520665594,0.02528589543659362,21,70
truhstedsister,0.00133422281521014,0.0,0.3845561826577732,0.0032707293220556083,1,2
samsmith,0.10406937958639093,0.000930706519294338,0.42392533936651583,0.06510861853500727,0,156
blacmoneye34,0.00133422281521014,0.0,0.3845561826577732,0.0032707293220556083,1,2
raisfacts,0.00266844563042028,0.0,0.38524800822410693,0.003918772269361606,1,4
thisiswargasmuk,0.0066711140760507,1.7647214795975064e-07,0.3899583766909469,0.006356842011970829,5,10
foreveryatrachile,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
yungblud,0.06937958639092728,0.0005055915906129002,0.41941801902630105,0.04536504519281511,0,104
heatherl74,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
motownmuseum,0.022681787858572378,6.008732455219595e-05,0.39888238424693984,0.014354833247152744,10,34
nct127,0.00933955970647098,9.74236422672399e-06,0.427309007981756,0.012600631813560647,7,14
renforshort,0.07471647765176784,0.00019452088363285534,0.4036079698438341,0.04968891716284478,20,112
laurenelyse1976,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
adrianajmk,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
wolflyfeinc,0.00266844563042028,0.0,0.3846548627149089,0.0034404053103991553,1,4
ddlovato,0.10273515677118078,0.001116037042291801,0.42225352112676057,0.06432994178332933,0,154
hotbonjovigrl,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
brandnewdime07,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
smokeyrobinson,0.0266844563042028,5.6331420315387014e-05,0.3977182276465906,0.01865187823057546,12,40
mayorcapellagrey,0.09206137424949966,0.0003006950591779823,0.40382543103448276,0.04896988925591916,19,138
danielcaesar,0.06804536357571714,0.00010292819283714405,0.403934249528429,0.04552480320450009,49,102
fatherjohnmisty,0.0133422281521014,8.186126636548545e-06,0.39036458333333335,0.007175386215403231,10,20
jonasbrothers,0.03869246164109406,0.0002286888655532499,0.40866957470010906,0.02902306622822781,0,58
breannaleighton,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
im_.amar._jeet._maurya_10k,0.00133422281521014,0.0,0.3845561826577732,0.0032707293220556083,1,2
marcitopacheco,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
santiagogetslouder,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
curlyq1971,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
kryfar1,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
pablitopesadilla,0.00266844563042028,6.358010437652494e-06,0.327292576419214,0.0018624522603728289,0,4
nataliabrumatti,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
anthornio,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
umusiccolombia,0.01200800533689126,2.0007904979375272e-05,0.3904662672570982,0.010039409099297207,0,18
official_vcha,0.00533689126084056,2.226673590137083e-07,0.3930256948085999,0.005285332258083681,2,8
rhovelaprovince,0.02134756504336224,3.029233677683894e-05,0.39624636531853025,0.018159240533412627,3,32
jazminbean,0.02134756504336224,1.5653501392311256e-05,0.3956188968065453,0.01730863241776415,5,32
jbjsoulfoundation,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
iamjenniferm,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
ryan1kaiser1,0.00266844563042028,0.0,0.3846548627149089,0.0033237226762184704,1,4
chrisryantx,0.01200800533689126,7.244491172232265e-06,0.3947853568606795,0.009899343678971696,3,18
amandabelle75,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
b.gruhn,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
reneerosato,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
skyhighfarmuniverse,0.01601067378252168,9.150745523069479e-05,0.39066979410998176,0.011441034799866728,3,24
recordingacademy,0.14809873248832553,0.002759227453591131,0.43025258323765786,0.0763452082684738,0,222
bonjo24,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
fcommando,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
twocolors,0.07605070046697798,0.000583589299194578,0.40524466071911325,0.046753944466126476,9,114
doubler_c,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
benatargiraldo,0.0066711140760507,6.60216231507536e-06,0.39036458333333335,0.005858962955359512,3,10
ladygagaenchile,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
kwellebel,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
st.bodhi,0.01467645096731154,8.60688520993958e-06,0.397929386779931,0.010864984000188928,9,22
matthewmaltese,0.02935290193462308,4.003431793318425e-05,0.3922030350601779,0.01735763163233759,10,44
elymartina,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
matthunter123,0.00933955970647098,2.2778314249764432e-05,0.33163716814159294,0.005070512483368821,0,14
salinasjg,0.00133422281521014,0.0,0.3576712001908852,0.00027651860121856285,0,2
lelepons,0.03735823882588392,0.00015583697440563606,0.4048069133135296,0.026122077139195166,0,56
trendschile_oficial,0.00133422281521014,0.0,0.326295167609926,0.0015121176110875693,0,2
